year,maiden_rate,maidens,overs
1991,21.2530853568,1481.0,6968.4
1992,24.6815976434,2279.0,9233.6
1993,24.752152892,3041.0,12285.8
1994,23.3651443359,3151.0,13485.9
1995,23.7739804345,2994.0,12593.6
1996,23.9491434746,2283.0,9532.7
1997,23.0830936048,3338.0,14460.8
1998,23.6479836223,3604.0,15240.2
1999,24.6849910794,3542.0,14348.8
2000,25.4504474288,3794.0,14907.4
2001,23.6385595081,4306.0,18216.0
2002,21.462216818,3636.0,16941.4
2003,21.9466336484,3350.0,15264.3
2004,19.721019721,3403.0,17255.7
2005,19.179359856,2920.0,15224.7
2006,19.1045695613,2853.0,14933.6
2007,18.6055423339,1845.0,9916.4
2008,18.5947634995,2904.0,15617.3
2009,18.2102199777,2553.0,14019.6
2010,18.2151165668,2576.0,14142.1
2011,19.2160641096,2513.0,13077.6
2012,19.8655429022,2819.0,14190.4
2013,20.938040773,3037.0,14504.7
2014,19.2845375061,2821.0,14628.3
2015,19.0192943976,2558.0,13449.5
2016,18.6996585681,2837.0,15171.4
