year,run_out_rate,run_outs,wickets
1991,2.61780104712,15.0,618.0
1992,3.98505603985,32.0,803.0
1993,2.53164556962,26.0,1027.0
1994,2.93132328308,35.0,1194.0
1995,3.21252059308,39.0,1214.0
1996,3.2293986637,29.0,898.0
1997,4.39393939394,58.0,1320.0
1998,3.28212290503,47.0,1432.0
1999,4.40060698027,58.0,1318.0
2000,4.13694721826,58.0,1402.0
2001,4.30563978169,71.0,1649.0
2002,3.52449223417,59.0,1674.0
2003,3.11111111111,42.0,1350.0
2004,3.10945273632,50.0,1608.0
2005,2.99869621904,46.0,1534.0
2006,3.1746031746,46.0,1449.0
2007,2.63157894737,25.0,950.0
2008,2.61569416499,39.0,1491.0
2009,3.02788844622,38.0,1255.0
2010,3.54118552733,46.0,1299.0
2011,2.91109362707,37.0,1271.0
2012,3.125,41.0,1312.0
2013,2.75229357798,39.0,1417.0
2014,2.16256524981,29.0,1341.0
2015,2.34438156831,29.0,1370.0
2016,2.57627118644,38.0,1475.0
