year,overs,run_rate,runs
1991,6969.6,268.259297521,20774.0
1992,9235.2,246.478690229,25292.0
1993,12286.2,249.213752014,34021.0
1994,13486.3,258.775942994,38777.0
1995,12597.2,260.043501731,36398.0
1996,9533.5,259.176587822,27454.0
1997,14462.0,265.705988107,42696.0
1998,15243.0,254.636882503,43127.0
1999,14352.4,258.422981522,41211.0
2000,14910.2,248.435299325,41158.0
2001,18219.6,273.201936376,55307.0
2002,16943.8,287.537034195,54133.0
2003,15266.7,288.53386783,48944.0
2004,17260.1,297.550999125,57064.0
2005,15285.7,304.896733548,51784.0
2006,14935.2,301.560742407,50043.0
2007,9918.4,302.528633651,33340.0
2008,15618.1,291.855603434,50647.0
2009,14020.4,304.148954381,47381.0
2010,14144.5,301.302272968,47353.0
2011,13078.4,283.844354049,41247.0
2012,14192.0,281.624154453,44409.0
2013,14508.3,282.643038812,45563.0
2014,14631.1,295.532119936,48044.0
2015,13452.3,299.926406637,44830.0
2016,15175.4,292.624247137,49341.0
