year,score,percent,total
1997-2001,0-200,20.12987013,93
1997-2001,401-600,25.10822511,116
1997-2001,600-plus,1.731601732,8
1997-2001,201-400,53.03030303,245
2002-2006,0-200,17.48971193,85
2002-2006,401-600,32.30452675,157
2002-2006,600-plus,4.938271605,24
2002-2006,201-400,45.26748971,220
2007-2011,0-200,16.75,67
2007-2011,401-600,28.5,114
2007-2011,600-plus,6,24
2007-2011,201-400,48.75,195
2012-2016,0-200,14.58333333,63
2012-2016,401-600,29.16666667,126
2012-2016,600-plus,3.472222222,15
2012-2016,201-400,52.77777778,228
